INFO - run_mri.py - 2024-11-13 15:55:14,577 - Starting training loop at step 0.
INFO - run_mri.py - 2024-11-13 15:55:15,177 - step: 25, training_loss: 1.10494e-02
INFO - run_mri.py - 2024-11-13 15:55:15,515 - step: 50, training_loss: 1.70244e-02
INFO - run_mri.py - 2024-11-13 15:55:15,854 - step: 75, training_loss: 2.13522e-02
INFO - run_mri.py - 2024-11-13 15:55:16,192 - step: 100, training_loss: 1.94948e-02
INFO - run_mri.py - 2024-11-13 15:55:16,204 - step: 100, eval_loss: 1.20253e-02
INFO - run_mri.py - 2024-11-13 15:55:16,558 - step: 125, training_loss: 1.41923e-02
INFO - run_mri.py - 2024-11-13 15:55:16,897 - step: 150, training_loss: 2.19180e-02
INFO - run_mri.py - 2024-11-13 15:55:17,234 - step: 175, training_loss: 1.24653e-02
INFO - run_mri.py - 2024-11-13 15:55:17,577 - step: 200, training_loss: 1.70901e-02
INFO - run_mri.py - 2024-11-13 15:55:17,589 - step: 200, eval_loss: 1.17056e-02
INFO - run_mri.py - 2024-11-13 15:55:17,931 - step: 225, training_loss: 2.08307e-02
INFO - run_mri.py - 2024-11-13 15:55:18,272 - step: 250, training_loss: 7.77996e-03
INFO - run_mri.py - 2024-11-13 15:55:18,609 - step: 275, training_loss: 1.15818e-02
INFO - run_mri.py - 2024-11-13 15:55:18,945 - step: 300, training_loss: 8.11541e-03
INFO - run_mri.py - 2024-11-13 15:55:18,957 - step: 300, eval_loss: 1.27754e-02
INFO - run_mri.py - 2024-11-13 15:55:19,294 - step: 325, training_loss: 7.89918e-03
INFO - run_mri.py - 2024-11-13 15:55:19,629 - step: 350, training_loss: 5.45240e-03
INFO - run_mri.py - 2024-11-13 15:55:19,966 - step: 375, training_loss: 5.25921e-03
INFO - run_mri.py - 2024-11-13 15:55:20,302 - step: 400, training_loss: 6.89161e-03
INFO - run_mri.py - 2024-11-13 15:55:20,312 - step: 400, eval_loss: 9.31178e-03
INFO - run_mri.py - 2024-11-13 15:55:20,649 - step: 425, training_loss: 6.67069e-03
INFO - run_mri.py - 2024-11-13 15:55:20,989 - step: 450, training_loss: 3.69763e-03
INFO - run_mri.py - 2024-11-13 15:55:21,340 - step: 475, training_loss: 2.06912e-03
INFO - run_mri.py - 2024-11-13 15:55:21,677 - step: 500, training_loss: 3.90418e-03
INFO - run_mri.py - 2024-11-13 15:55:21,691 - step: 500, eval_loss: 5.05235e-03
INFO - run_mri.py - 2024-11-13 15:55:22,030 - step: 525, training_loss: 3.58877e-03
INFO - run_mri.py - 2024-11-13 15:55:22,366 - step: 550, training_loss: 1.48518e-03
INFO - run_mri.py - 2024-11-13 15:55:23,031 - step: 25, training_loss: 2.33463e-03
INFO - run_mri.py - 2024-11-13 15:55:23,368 - step: 50, training_loss: 2.33874e-03
INFO - run_mri.py - 2024-11-13 15:55:23,704 - step: 75, training_loss: 2.54054e-03
INFO - run_mri.py - 2024-11-13 15:55:24,040 - step: 100, training_loss: 1.01133e-03
INFO - run_mri.py - 2024-11-13 15:55:24,051 - step: 100, eval_loss: 1.28810e-03
INFO - run_mri.py - 2024-11-13 15:55:24,387 - step: 125, training_loss: 8.24565e-04
INFO - run_mri.py - 2024-11-13 15:55:24,723 - step: 150, training_loss: 8.30036e-04
INFO - run_mri.py - 2024-11-13 15:55:25,059 - step: 175, training_loss: 8.33021e-04
INFO - run_mri.py - 2024-11-13 15:55:25,396 - step: 200, training_loss: 6.60327e-04
INFO - run_mri.py - 2024-11-13 15:55:25,407 - step: 200, eval_loss: 8.91209e-04
INFO - run_mri.py - 2024-11-13 15:55:25,745 - step: 225, training_loss: 7.75964e-04
INFO - run_mri.py - 2024-11-13 15:55:26,081 - step: 250, training_loss: 1.44059e-03
INFO - run_mri.py - 2024-11-13 15:55:26,418 - step: 275, training_loss: 6.41355e-04
INFO - run_mri.py - 2024-11-13 15:55:26,754 - step: 300, training_loss: 5.46119e-04
INFO - run_mri.py - 2024-11-13 15:55:26,766 - step: 300, eval_loss: 5.69064e-04
INFO - run_mri.py - 2024-11-13 15:55:27,102 - step: 325, training_loss: 6.88128e-04
INFO - run_mri.py - 2024-11-13 15:55:27,437 - step: 350, training_loss: 1.01734e-03
INFO - run_mri.py - 2024-11-13 15:55:27,791 - step: 375, training_loss: 5.85625e-04
INFO - run_mri.py - 2024-11-13 15:55:28,127 - step: 400, training_loss: 5.82675e-04
INFO - run_mri.py - 2024-11-13 15:55:28,137 - step: 400, eval_loss: 4.76632e-04
INFO - run_mri.py - 2024-11-13 15:55:28,475 - step: 425, training_loss: 7.00085e-04
INFO - run_mri.py - 2024-11-13 15:55:28,813 - step: 450, training_loss: 6.05596e-04
INFO - run_mri.py - 2024-11-13 15:55:29,150 - step: 475, training_loss: 5.90095e-04
INFO - run_mri.py - 2024-11-13 15:55:29,488 - step: 500, training_loss: 8.78575e-04
INFO - run_mri.py - 2024-11-13 15:55:29,500 - step: 500, eval_loss: 2.94958e-04
INFO - run_mri.py - 2024-11-13 15:55:29,837 - step: 525, training_loss: 6.12135e-04
INFO - run_mri.py - 2024-11-13 15:55:30,174 - step: 550, training_loss: 4.33560e-04
INFO - run_mri.py - 2024-11-13 15:55:30,819 - step: 25, training_loss: 6.49520e-04
INFO - run_mri.py - 2024-11-13 15:55:31,156 - step: 50, training_loss: 4.98104e-04
INFO - run_mri.py - 2024-11-13 15:55:31,503 - step: 75, training_loss: 5.96397e-04
INFO - run_mri.py - 2024-11-13 15:55:31,839 - step: 100, training_loss: 6.03711e-04
INFO - run_mri.py - 2024-11-13 15:55:31,850 - step: 100, eval_loss: 4.11808e-04
INFO - run_mri.py - 2024-11-13 15:55:32,192 - step: 125, training_loss: 4.88118e-04
INFO - run_mri.py - 2024-11-13 15:55:32,528 - step: 150, training_loss: 1.00550e-03
INFO - run_mri.py - 2024-11-13 15:55:32,864 - step: 175, training_loss: 7.32789e-04
INFO - run_mri.py - 2024-11-13 15:55:33,199 - step: 200, training_loss: 1.09403e-03
INFO - run_mri.py - 2024-11-13 15:55:33,210 - step: 200, eval_loss: 4.20443e-04
INFO - run_mri.py - 2024-11-13 15:55:33,547 - step: 225, training_loss: 1.16219e-03
INFO - run_mri.py - 2024-11-13 15:55:33,883 - step: 250, training_loss: 4.70682e-04
INFO - run_mri.py - 2024-11-13 15:55:34,217 - step: 275, training_loss: 7.79731e-04
INFO - run_mri.py - 2024-11-13 15:55:34,552 - step: 300, training_loss: 1.01128e-03
INFO - run_mri.py - 2024-11-13 15:55:34,564 - step: 300, eval_loss: 4.45320e-04
INFO - run_mri.py - 2024-11-13 15:55:34,900 - step: 325, training_loss: 5.03126e-04
INFO - run_mri.py - 2024-11-13 15:55:35,236 - step: 350, training_loss: 9.84133e-04
INFO - run_mri.py - 2024-11-13 15:55:35,572 - step: 375, training_loss: 5.43149e-04
INFO - run_mri.py - 2024-11-13 15:55:35,907 - step: 400, training_loss: 3.73149e-04
INFO - run_mri.py - 2024-11-13 15:55:35,918 - step: 400, eval_loss: 4.04441e-04
INFO - run_mri.py - 2024-11-13 15:55:36,253 - step: 425, training_loss: 4.91008e-04
INFO - run_mri.py - 2024-11-13 15:55:36,587 - step: 450, training_loss: 1.03251e-03
INFO - run_mri.py - 2024-11-13 15:55:36,921 - step: 475, training_loss: 5.13898e-04
INFO - run_mri.py - 2024-11-13 15:55:37,256 - step: 500, training_loss: 6.41227e-04
INFO - run_mri.py - 2024-11-13 15:55:37,269 - step: 500, eval_loss: 3.92699e-04
INFO - run_mri.py - 2024-11-13 15:55:37,611 - step: 525, training_loss: 9.19441e-04
INFO - run_mri.py - 2024-11-13 15:55:37,950 - step: 550, training_loss: 5.75510e-04
INFO - run_mri.py - 2024-11-13 15:55:38,585 - step: 25, training_loss: 8.31659e-04
INFO - run_mri.py - 2024-11-13 15:55:38,920 - step: 50, training_loss: 4.39027e-04
INFO - run_mri.py - 2024-11-13 15:55:39,289 - step: 75, training_loss: 5.81778e-04
INFO - run_mri.py - 2024-11-13 15:55:39,622 - step: 100, training_loss: 2.98851e-04
INFO - run_mri.py - 2024-11-13 15:55:39,633 - step: 100, eval_loss: 4.28673e-04
INFO - run_mri.py - 2024-11-13 15:55:39,970 - step: 125, training_loss: 9.11697e-04
INFO - run_mri.py - 2024-11-13 15:55:40,305 - step: 150, training_loss: 7.11134e-04
INFO - run_mri.py - 2024-11-13 15:55:40,641 - step: 175, training_loss: 3.95435e-04
INFO - run_mri.py - 2024-11-13 15:55:40,975 - step: 200, training_loss: 5.16282e-04
INFO - run_mri.py - 2024-11-13 15:55:40,986 - step: 200, eval_loss: 3.81898e-04
INFO - run_mri.py - 2024-11-13 15:55:41,322 - step: 225, training_loss: 7.39484e-04
INFO - run_mri.py - 2024-11-13 15:55:41,659 - step: 250, training_loss: 7.90782e-04
INFO - run_mri.py - 2024-11-13 15:55:41,994 - step: 275, training_loss: 7.06348e-04
INFO - run_mri.py - 2024-11-13 15:55:42,329 - step: 300, training_loss: 7.84432e-04
INFO - run_mri.py - 2024-11-13 15:55:42,340 - step: 300, eval_loss: 4.04801e-04
INFO - run_mri.py - 2024-11-13 15:55:42,675 - step: 325, training_loss: 5.14856e-04
INFO - run_mri.py - 2024-11-13 15:55:43,012 - step: 350, training_loss: 4.34837e-04
INFO - run_mri.py - 2024-11-13 15:55:43,349 - step: 375, training_loss: 7.15494e-04
INFO - run_mri.py - 2024-11-13 15:55:43,685 - step: 400, training_loss: 6.44960e-04
INFO - run_mri.py - 2024-11-13 15:55:43,696 - step: 400, eval_loss: 4.77654e-04
INFO - run_mri.py - 2024-11-13 15:55:44,032 - step: 425, training_loss: 4.86000e-04
INFO - run_mri.py - 2024-11-13 15:55:44,368 - step: 450, training_loss: 5.32258e-04
INFO - run_mri.py - 2024-11-13 15:55:44,704 - step: 475, training_loss: 6.19061e-04
INFO - run_mri.py - 2024-11-13 15:55:45,041 - step: 500, training_loss: 5.92030e-04
INFO - run_mri.py - 2024-11-13 15:55:45,053 - step: 500, eval_loss: 3.49475e-04
INFO - run_mri.py - 2024-11-13 15:55:45,388 - step: 525, training_loss: 6.24245e-04
INFO - run_mri.py - 2024-11-13 15:55:45,725 - step: 550, training_loss: 6.82994e-04
INFO - run_mri.py - 2024-11-13 15:55:46,344 - step: 25, training_loss: 7.33463e-04
INFO - run_mri.py - 2024-11-13 15:55:46,679 - step: 50, training_loss: 6.32814e-04
INFO - run_mri.py - 2024-11-13 15:55:47,016 - step: 75, training_loss: 5.59636e-04
INFO - run_mri.py - 2024-11-13 15:55:47,352 - step: 100, training_loss: 5.77819e-04
INFO - run_mri.py - 2024-11-13 15:55:47,362 - step: 100, eval_loss: 3.87341e-04
INFO - run_mri.py - 2024-11-13 15:55:47,698 - step: 125, training_loss: 7.83897e-04
INFO - run_mri.py - 2024-11-13 15:55:48,034 - step: 150, training_loss: 3.10957e-04
INFO - run_mri.py - 2024-11-13 15:55:48,370 - step: 175, training_loss: 6.71382e-04
INFO - run_mri.py - 2024-11-13 15:55:48,708 - step: 200, training_loss: 7.05299e-04
INFO - run_mri.py - 2024-11-13 15:55:48,725 - step: 200, eval_loss: 3.93753e-04
INFO - run_mri.py - 2024-11-13 15:55:49,061 - step: 225, training_loss: 4.30538e-04
INFO - run_mri.py - 2024-11-13 15:55:49,397 - step: 250, training_loss: 6.30409e-04
INFO - run_mri.py - 2024-11-13 15:55:49,736 - step: 275, training_loss: 5.49181e-04
INFO - run_mri.py - 2024-11-13 15:55:50,070 - step: 300, training_loss: 4.49018e-04
INFO - run_mri.py - 2024-11-13 15:55:50,080 - step: 300, eval_loss: 2.94027e-04
INFO - run_mri.py - 2024-11-13 15:55:50,415 - step: 325, training_loss: 1.04010e-03
INFO - run_mri.py - 2024-11-13 15:55:50,750 - step: 350, training_loss: 8.79062e-04
INFO - run_mri.py - 2024-11-13 15:55:51,085 - step: 375, training_loss: 6.43649e-04
INFO - run_mri.py - 2024-11-13 15:55:51,420 - step: 400, training_loss: 7.79127e-04
INFO - run_mri.py - 2024-11-13 15:55:51,430 - step: 400, eval_loss: 4.16220e-04
INFO - run_mri.py - 2024-11-13 15:55:51,765 - step: 425, training_loss: 6.82449e-04
INFO - run_mri.py - 2024-11-13 15:55:52,100 - step: 450, training_loss: 1.10836e-03
INFO - run_mri.py - 2024-11-13 15:55:52,435 - step: 475, training_loss: 7.37913e-04
INFO - run_mri.py - 2024-11-13 15:55:52,770 - step: 500, training_loss: 1.43441e-03
INFO - run_mri.py - 2024-11-13 15:55:52,783 - step: 500, eval_loss: 3.78844e-04
INFO - run_mri.py - 2024-11-13 15:55:53,117 - step: 525, training_loss: 5.28029e-04
INFO - run_mri.py - 2024-11-13 15:55:53,451 - step: 550, training_loss: 4.75699e-04
INFO - run_mri.py - 2024-11-13 15:55:54,085 - step: 25, training_loss: 4.54947e-04
INFO - run_mri.py - 2024-11-13 15:55:54,420 - step: 50, training_loss: 7.42656e-04
INFO - run_mri.py - 2024-11-13 15:55:54,756 - step: 75, training_loss: 5.79978e-04
INFO - run_mri.py - 2024-11-13 15:55:55,090 - step: 100, training_loss: 4.95768e-04
INFO - run_mri.py - 2024-11-13 15:55:55,101 - step: 100, eval_loss: 4.57018e-04
INFO - run_mri.py - 2024-11-13 15:55:55,436 - step: 125, training_loss: 4.49618e-04
INFO - run_mri.py - 2024-11-13 15:55:55,771 - step: 150, training_loss: 6.40040e-04
INFO - run_mri.py - 2024-11-13 15:55:56,106 - step: 175, training_loss: 4.24209e-04
INFO - run_mri.py - 2024-11-13 15:55:56,441 - step: 200, training_loss: 3.48571e-04
INFO - run_mri.py - 2024-11-13 15:55:56,451 - step: 200, eval_loss: 3.80275e-04
INFO - run_mri.py - 2024-11-13 15:55:56,786 - step: 225, training_loss: 4.07021e-04
INFO - run_mri.py - 2024-11-13 15:55:57,124 - step: 250, training_loss: 5.15343e-04
INFO - run_mri.py - 2024-11-13 15:55:57,458 - step: 275, training_loss: 4.65661e-04
INFO - run_mri.py - 2024-11-13 15:55:57,794 - step: 300, training_loss: 7.19184e-04
INFO - run_mri.py - 2024-11-13 15:55:57,804 - step: 300, eval_loss: 3.43917e-04
INFO - run_mri.py - 2024-11-13 15:55:58,139 - step: 325, training_loss: 6.50697e-04
INFO - run_mri.py - 2024-11-13 15:55:58,474 - step: 350, training_loss: 9.42907e-04
INFO - run_mri.py - 2024-11-13 15:55:58,809 - step: 375, training_loss: 4.11003e-04
INFO - run_mri.py - 2024-11-13 15:55:59,144 - step: 400, training_loss: 3.78843e-04
INFO - run_mri.py - 2024-11-13 15:55:59,155 - step: 400, eval_loss: 4.18122e-04
INFO - run_mri.py - 2024-11-13 15:55:59,490 - step: 425, training_loss: 6.02077e-04
INFO - run_mri.py - 2024-11-13 15:55:59,825 - step: 450, training_loss: 5.86381e-04
INFO - run_mri.py - 2024-11-13 15:56:00,160 - step: 475, training_loss: 3.86656e-04
INFO - run_mri.py - 2024-11-13 15:56:00,494 - step: 500, training_loss: 8.03854e-04
INFO - run_mri.py - 2024-11-13 15:56:00,506 - step: 500, eval_loss: 4.65703e-04
INFO - run_mri.py - 2024-11-13 15:56:00,843 - step: 525, training_loss: 5.42269e-04
INFO - run_mri.py - 2024-11-13 15:56:01,179 - step: 550, training_loss: 8.38618e-04
INFO - run_mri.py - 2024-11-13 15:56:01,801 - step: 25, training_loss: 2.83320e-04
INFO - run_mri.py - 2024-11-13 15:56:02,135 - step: 50, training_loss: 3.39690e-04
INFO - run_mri.py - 2024-11-13 15:56:02,472 - step: 75, training_loss: 6.53997e-04
INFO - run_mri.py - 2024-11-13 15:56:02,808 - step: 100, training_loss: 5.56814e-04
INFO - run_mri.py - 2024-11-13 15:56:02,818 - step: 100, eval_loss: 3.79146e-04
INFO - run_mri.py - 2024-11-13 15:56:03,154 - step: 125, training_loss: 5.73084e-04
INFO - run_mri.py - 2024-11-13 15:56:03,491 - step: 150, training_loss: 5.47346e-04
INFO - run_mri.py - 2024-11-13 15:56:03,827 - step: 175, training_loss: 5.46657e-04
INFO - run_mri.py - 2024-11-13 15:56:04,163 - step: 200, training_loss: 5.31980e-04
INFO - run_mri.py - 2024-11-13 15:56:04,174 - step: 200, eval_loss: 4.19682e-04
INFO - run_mri.py - 2024-11-13 15:56:04,510 - step: 225, training_loss: 1.51888e-03
INFO - run_mri.py - 2024-11-13 15:56:04,847 - step: 250, training_loss: 5.98801e-04
INFO - run_mri.py - 2024-11-13 15:56:05,183 - step: 275, training_loss: 8.26157e-04
INFO - run_mri.py - 2024-11-13 15:56:05,519 - step: 300, training_loss: 4.21525e-04
INFO - run_mri.py - 2024-11-13 15:56:05,529 - step: 300, eval_loss: 2.98984e-04
INFO - run_mri.py - 2024-11-13 15:56:05,865 - step: 325, training_loss: 7.33470e-04
INFO - run_mri.py - 2024-11-13 15:56:06,200 - step: 350, training_loss: 3.32789e-04
INFO - run_mri.py - 2024-11-13 15:56:06,536 - step: 375, training_loss: 6.48869e-04
